Participant,HR,Time,Label
1,67.38,1644243360,0
1,67.47,1644243428,0
1,67.53,1644243495,0
1,67.58,1644243563,0
1,67.6,1644243630,0
1,67.6,1644243698,0
1,67.6,1644243766,0
1,67.6,1644243833,0
1,67.6,1644243901,0
1,67.6,1644243968,0
1,67.6,1644244036,0
1,67.6,1644244104,0
1,67.6,1644244171,0
1,67.6,1644244239,0
1,67.58,1644244306,0
1,67.58,1644244374,0
1,67.58,1644244441,0
1,67.58,1644244509,0
1,67.6,1644244577,0
1,67.62,1644244644,0
1,67.65,1644244712,0
1,67.7,1644244780,0
1,67.77,1644244847,0
1,67.85,1644244915,0
1,67.93,1644244983,0
1,68.02,1644245051,0
1,68.1,1644245119,0
1,68.18,1644245187,0
1,68.27,1644245255,0
1,68.37,1644245323,0
1,68.47,1644245392,0
1,68.58,1644245460,0
1,68.7,1644245529,0
1,68.82,1644245597,0
1,68.92,1644245666,0
1,69.02,1644245735,0
1,69.12,1644245804,0
1,69.2,1644245873,0
1,69.28,1644245943,0
1,69.37,1644246012,0
1,69.43,1644246081,0
1,69.52,1644246151,0
1,69.6,1644246220,0
1,69.68,1644246290,0
1,69.77,1644246359,0
1,69.87,1644246429,0
1,69.98,1644246499,0
1,70.12,1644246569,0
1,70.25,1644246639,0
1,70.37,1644246709,0
1,70.48,1644246780,0
1,70.6,1644246850,0
1,70.72,1644246921,0
1,70.83,1644246992,0
1,70.95,1644247062,0
1,71.05,1644247133,0
1,71.15,1644247204,0
1,71.23,1644247276,0
1,71.3,1644247347,0
1,71.37,1644247418,0
1,71.43,1644247489,0
1,71.5,1644247561,0
1,71.58,1644247632,0
1,71.67,1644247704,0
1,71.78,1644247776,0
1,71.9,1644247847,0
1,72.03,1644247919,0
1,72.18,1644247991,0
1,72.33,1644248064,0
1,72.5,1644248136,0
1,72.67,1644248208,0
1,72.83,1644248281,0
1,73.0,1644248354,0
1,73.17,1644248427,0
1,73.33,1644248500,0
1,73.5,1644248573,0
1,73.65,1644248647,0
1,73.8,1644248720,0
1,73.93,1644248794,0
1,74.07,1644248868,0
1,74.18,1644248942,0
1,74.3,1644249016,0
1,74.4,1644249091,0
1,74.5,1644249165,0
1,74.58,1644249240,0
1,74.67,1644249314,0
1,74.73,1644249389,0
1,74.78,1644249464,0
1,74.83,1644249538,0
1,74.87,1644249613,0
1,74.92,1644249688,0
1,74.95,1644249763,0
1,74.98,1644249838,0
1,75.03,1644249913,0
1,75.08,1644249988,0
1,75.13,1644250063,0
1,75.17,1644250138,0
1,75.2,1644250213,0
1,75.23,1644250289,0
1,75.27,1644250364,0
1,75.3,1644250439,0
1,75.33,1644250514,0
1,75.37,1644250590,0
1,75.4,1644250665,0
1,75.43,1644250740,0
1,75.45,1644250816,0
1,75.47,1644250891,0
1,75.48,1644250967,0
1,75.5,1644251042,0
1,75.5,1644251118,0
1,75.5,1644251193,0
1,75.5,1644251269,0
1,75.47,1644251344,0
1,75.43,1644251420,0
1,75.42,1644251495,0
1,75.42,1644251571,0
1,75.43,1644251646,0
1,75.43,1644251721,0
1,75.47,1644251797,0
1,75.5,1644251872,0
1,75.55,1644251948,0
1,75.62,1644252023,0
1,75.68,1644252099,0
1,75.77,1644252175,0
1,75.87,1644252251,0
1,75.93,1644252326,0
1,75.98,1644252402,0
1,76.0,1644252478,0
1,76.03,1644252554,0
1,76.07,1644252630,0
1,76.08,1644252706,0
1,76.1,1644252782,0
1,76.07,1644252859,0
1,75.95,1644252935,0
1,75.9,1644253011,0
1,75.85,1644253086,0
1,75.8,1644253162,0
1,75.73,1644253238,0
1,75.65,1644253314,0
1,75.55,1644253390,0
1,75.75,1644253465,0
1,75.95,1644253541,0
1,76.17,1644253617,0
1,76.37,1644253693,0
1,76.55,1644253769,0
1,76.7,1644253846,0
1,76.95,1644253923,0
1,77.12,1644254000,0
1,77.22,1644254077,0
1,77.3,1644254154,0
1,77.33,1644254231,0
1,77.23,1644254308,0
1,77.12,1644254386,0
1,76.95,1644254463,0
1,76.77,1644254540,0
1,76.55,1644254617,0
1,76.33,1644254693,0
1,76.12,1644254769,0
1,75.9,1644254846,0
1,75.68,1644254921,0
1,75.45,1644254997,0
1,75.22,1644255073,0
1,74.98,1644255148,0
1,74.75,1644255223,0
1,74.53,1644255298,0
1,74.3,1644255372,0
1,74.07,1644255446,0
1,73.83,1644255520,0
1,73.6,1644255594,0
1,73.38,1644255668,0
1,73.17,1644255741,0
1,72.95,1644255814,0
1,72.77,1644255887,0
1,72.58,1644255960,0
1,72.38,1644256033,0
1,72.15,1644256105,0
1,71.92,1644256177,0
1,71.7,1644256249,0
1,71.45,1644256321,0
1,71.2,1644256392,0
1,70.93,1644256464,0
1,70.65,1644256534,0
1,70.37,1644256605,0
1,70.07,1644256675,0
1,69.75,1644256746,0
1,69.47,1644256815,0
1,69.18,1644256885,0
1,68.92,1644256954,0
1,68.62,1644257023,0
1,68.3,1644257091,0
1,68.0,1644257160,0
1,67.7,1644257228,0
1,67.45,1644257295,0
1,67.28,1644257363,0
1,67.08,1644257430,0
1,66.87,1644257497,0
1,66.67,1644257564,0
1,66.48,1644257631,0
1,66.32,1644257697,0
1,66.17,1644257764,0
1,65.73,1644257830,0
1,65.3,1644257896,0
1,64.87,1644257961,0
1,64.45,1644258026,0
1,64.07,1644258090,0
1,63.72,1644258154,0
1,63.28,1644258218,0
1,62.93,1644258281,0
1,62.65,1644258344,0
1,62.38,1644258407,0
1,62.13,1644258469,0
1,62.0,1644258531,0
1,61.88,1644258593,0
1,61.8,1644258655,0
1,61.73,1644258717,0
1,61.7,1644258779,0
1,61.68,1644258840,0
1,61.67,1644258902,0
1,61.65,1644258964,0
1,61.65,1644259025,0
1,61.67,1644259087,0
1,61.67,1644259149,0
1,61.68,1644259210,0
1,61.7,1644259272,0
1,61.7,1644259334,0
1,61.72,1644259395,0
1,61.7,1644259457,0
1,61.68,1644259519,0
1,61.67,1644259581,0
1,61.65,1644259642,0
1,61.63,1644259704,0
1,61.62,1644259766,0
1,61.6,1644259827,0
1,61.58,1644259889,0
1,61.57,1644259950,0
1,61.57,1644260012,0
1,61.55,1644260073,0
1,61.53,1644260135,0
1,61.52,1644260197,0
1,61.5,1644260258,0
1,61.48,1644260320,0
1,61.47,1644260381,0
1,61.43,1644260443,0
1,61.4,1644260504,0
1,61.37,1644260565,0
1,61.32,1644260627,0
1,61.27,1644260688,0
1,61.22,1644260749,0
1,61.17,1644260811,0
1,61.12,1644260872,0
1,61.07,1644260933,0
1,61.02,1644260994,0
1,60.97,1644261055,0
1,60.93,1644261116,0
1,60.88,1644261177,0
1,60.83,1644261238,0
1,60.78,1644261299,0
1,60.75,1644261359,0
1,60.73,1644261420,0
1,60.72,1644261481,0
1,60.7,1644261542,0
1,60.7,1644261602,0
1,60.7,1644261663,0
1,60.68,1644261724,0
1,60.68,1644261784,0
1,60.68,1644261845,0
1,60.7,1644261906,0
1,60.7,1644261966,0
1,60.68,1644262027,0
1,60.67,1644262088,0
1,60.65,1644262148,1
1,60.65,1644262209,1
1,60.65,1644262270,1
1,60.65,1644262330,1
1,60.65,1644262391,1
1,60.65,1644262452,1
1,60.65,1644262512,0
1,60.65,1644262573,0
1,60.65,1644262634,0
1,60.65,1644262694,0
1,60.65,1644262755,0
1,60.63,1644262816,0
1,60.6,1644262876,0
1,60.57,1644262937,0
1,60.53,1644262997,0
1,60.5,1644263058,1
1,60.5,1644263118,1
1,60.5,1644263179,1
1,60.5,1644263239,1
1,60.5,1644263300,1
1,60.5,1644263360,1
1,60.5,1644263421,1
1,60.5,1644263481,1
1,60.5,1644263542,1
1,60.5,1644263602,1
1,60.48,1644263663,1
1,60.47,1644263723,0
1,60.45,1644263784,0
1,60.45,1644263844,0
1,60.45,1644263905,0
1,60.45,1644263965,0
1,60.45,1644264026,0
1,60.47,1644264086,0
1,60.48,1644264147,0
1,60.5,1644264207,0
1,60.53,1644264268,0
1,60.57,1644264328,0
1,60.6,1644264389,0
1,60.63,1644264449,0
1,60.67,1644264510,0
1,60.7,1644264571,0
1,60.73,1644264631,0
1,60.77,1644264692,0
1,60.78,1644264753,0
1,60.8,1644264814,0
1,60.83,1644264874,0
1,60.87,1644264935,0
1,60.88,1644264996,0
1,60.9,1644265057,0
1,60.92,1644265118,0
1,60.93,1644265179,0
1,60.92,1644265240,0
1,60.9,1644265301,0
1,60.9,1644265361,0
1,60.88,1644265422,0
1,60.87,1644265483,0
1,60.83,1644265544,0
1,60.82,1644265605,0
1,60.82,1644265666,0
1,60.82,1644265727,0
1,60.83,1644265787,0
1,60.85,1644265848,0
1,60.87,1644265909,0
1,60.87,1644265970,0
1,60.87,1644266031,0
1,60.87,1644266092,0
1,60.87,1644266153,0
1,60.87,1644266213,0
1,60.87,1644266274,0
1,60.83,1644266335,0
1,60.8,1644266396,0
1,60.8,1644266457,0
1,60.8,1644266518,0
1,60.8,1644266578,0
1,60.8,1644266639,0
1,60.8,1644266700,0
1,60.78,1644266761,0
1,60.77,1644266822,0
1,60.77,1644266882,0
1,60.77,1644266943,0
1,60.77,1644267004,0
1,60.77,1644267065,0
1,60.75,1644267125,0
1,60.73,1644267186,0
1,60.72,1644267247,0
1,60.72,1644267308,0
1,60.72,1644267368,0
1,60.72,1644267429,0
1,60.7,1644267490,0
1,60.68,1644267550,0
1,60.67,1644267611,0
1,60.65,1644267672,0
1,60.63,1644267732,0
1,60.62,1644267793,0
