Participant,HR,Time,Label
13,1.0,1645442658,0
13,73.0,1645442659,0
13,64.0,1645442732,0
13,63.0,1645442796,0
13,68.5,1645442859,0
13,71.8,1645442928,0
13,73.0,1645442999,0
13,74.0,1645443072,0
13,74.88,1645443146,0
13,76.11,1645443221,0
13,77.1,1645443297,0
13,78.0,1645443374,1
13,78.75,1645443452,1
13,79.31,1645443531,1
13,79.57,1645443610,1
13,79.73,1645443690,1
13,79.69,1645443770,1
13,79.59,1645443849,0
13,79.39,1645443929,0
13,79.21,1645444008,0
13,79.0,1645444088,1
13,78.38,1645444167,1
13,77.82,1645444245,1
13,77.26,1645444323,1
13,76.75,1645444400,1
13,76.24,1645444477,1
13,75.77,1645444553,1
13,75.33,1645444629,1
13,74.93,1645444704,1
13,74.55,1645444779,0
13,74.2,1645444854,0
13,73.9,1645444928,0
13,73.62,1645445002,1
13,73.36,1645445075,1
13,73.12,1645445149,1
13,72.86,1645445222,0
13,72.61,1645445295,0
13,72.38,1645445367,0
13,72.13,1645445440,0
13,71.9,1645445512,0
13,71.68,1645445584,0
13,71.46,1645445655,0
13,71.26,1645445727,0
13,71.07,1645445798,0
13,70.89,1645445869,0
13,70.71,1645445940,0
13,70.54,1645446011,0
13,70.4,1645446081,0
13,70.27,1645446152,0
13,70.14,1645446222,0
13,70.02,1645446292,0
13,69.9,1645446362,0
13,69.79,1645446432,0
13,69.66,1645446502,0
13,69.54,1645446572,0
13,69.42,1645446641,0
13,69.3,1645446710,0
13,69.19,1645446780,0
13,69.07,1645446849,0
13,68.97,1645446918,0
13,68.87,1645446987,0
13,68.7,1645447056,0
13,68.83,1645447125,0
13,68.87,1645447193,0
13,68.52,1645447262,0
13,68.15,1645447331,0
13,67.9,1645447399,0
13,67.63,1645447467,0
13,67.33,1645447534,0
13,66.97,1645447602,0
13,66.6,1645447669,0
13,66.22,1645447735,0
13,65.83,1645447802,0
13,65.47,1645447867,0
13,65.15,1645447933,0
13,64.83,1645447998,0
13,64.57,1645448063,0
13,64.5,1645448127,0
13,64.5,1645448192,0
13,64.52,1645448256,0
13,64.57,1645448321,0
13,64.78,1645448386,0
13,64.97,1645448450,0
13,65.15,1645448515,0
13,65.2,1645448580,0
13,65.28,1645448646,0
13,65.37,1645448711,0
13,65.45,1645448776,0
13,65.52,1645448842,0
13,65.58,1645448907,0
13,65.62,1645448973,0
13,65.63,1645449038,0
13,65.63,1645449104,0
13,65.63,1645449170,0
13,65.62,1645449235,0
13,65.6,1645449301,0
13,65.57,1645449367,0
13,65.53,1645449432,0
13,65.52,1645449498,0
13,65.5,1645449563,0
13,65.5,1645449629,0
13,65.5,1645449694,0
13,65.82,1645449760,0
13,66.13,1645449826,0
13,66.43,1645449892,0
13,66.75,1645449958,0
13,67.07,1645450025,0
13,67.33,1645450092,0
13,67.6,1645450159,0
13,67.93,1645450227,0
13,68.23,1645450295,0
13,68.53,1645450363,0
13,68.82,1645450432,0
13,68.97,1645450500,0
13,69.17,1645450569,0
13,69.37,1645450638,0
13,69.6,1645450708,0
13,69.78,1645450777,0
13,69.98,1645450847,0
13,70.18,1645450917,0
13,70.38,1645450987,0
13,70.55,1645451058,0
13,70.72,1645451128,0
13,70.92,1645451199,0
13,71.1,1645451270,0
13,71.3,1645451341,0
13,71.48,1645451412,0
13,71.75,1645451484,0
13,71.8,1645451556,0
13,71.83,1645451627,0
13,71.85,1645451699,0
13,71.85,1645451771,0
13,71.83,1645451843,0
13,71.82,1645451915,0
13,71.82,1645451987,0
13,71.83,1645452058,0
13,71.87,1645452130,0
13,71.72,1645452202,0
13,71.53,1645452274,0
13,71.33,1645452345,0
13,71.12,1645452417,0
13,70.87,1645452488,0
13,70.65,1645452559,0
13,70.45,1645452629,0
13,70.38,1645452700,0
13,70.3,1645452770,0
13,70.22,1645452840,0
13,70.13,1645452911,0
13,70.07,1645452981,0
13,70.02,1645453051,0
13,69.98,1645453121,0
13,69.95,1645453191,0
13,69.93,1645453261,0
13,69.92,1645453331,0
13,69.95,1645453401,0
13,70.0,1645453471,0
13,70.07,1645453541,0
13,70.13,1645453611,0
13,70.22,1645453681,0
13,70.3,1645453751,0
13,70.37,1645453821,0
13,70.43,1645453892,0
13,70.17,1645453962,0
13,69.88,1645454032,0
13,69.65,1645454102,0
13,69.4,1645454172,0
13,69.15,1645454241,0
13,68.93,1645454310,0
13,68.72,1645454379,0
13,68.43,1645454448,0
13,68.18,1645454516,0
13,67.93,1645454585,0
13,67.68,1645454653,0
13,67.6,1645454720,0
13,67.47,1645454788,0
13,67.33,1645454855,0
13,67.15,1645454923,0
13,67.0,1645454990,0
13,66.87,1645455057,0
13,66.75,1645455124,0
13,66.7,1645455190,0
13,66.68,1645455257,0
13,66.87,1645455324,0
13,66.9,1645455391,0
13,67.08,1645455458,0
13,67.28,1645455525,0
13,67.47,1645455592,0
13,67.57,1645455659,0
13,67.93,1645455727,0
13,68.27,1645455795,0
13,68.68,1645455863,0
13,69.12,1645455932,0
13,69.55,1645456001,0
13,69.93,1645456071,0
13,70.37,1645456140,0
13,70.88,1645456211,0
13,71.42,1645456282,0
13,71.9,1645456353,0
13,72.4,1645456425,0
13,72.88,1645456497,0
13,72.9,1645456570,0
13,72.93,1645456643,0
13,72.95,1645456716,0
13,72.98,1645456789,0
13,73.03,1645456862,0
13,73.1,1645456935,0
13,73.18,1645457008,0
13,73.28,1645457081,0
13,73.38,1645457155,0
13,73.5,1645457228,0
13,73.58,1645457302,0
13,73.65,1645457375,0
13,73.72,1645457449,0
13,73.8,1645457522,0
13,73.85,1645457596,0
13,73.9,1645457670,0
13,73.95,1645457744,0
13,74.02,1645457818,0
13,74.07,1645457892,0
13,74.12,1645457966,0
13,74.17,1645458040,0
13,74.2,1645458114,0
13,74.25,1645458189,0
13,74.3,1645458263,0
13,74.32,1645458337,0
13,74.33,1645458411,0
13,74.35,1645458486,0
13,74.37,1645458560,0
13,74.38,1645458634,0
13,74.4,1645458709,0
13,74.43,1645458783,0
13,74.47,1645458858,0
13,74.5,1645458932,0
13,74.5,1645459007,0
13,74.48,1645459081,0
13,74.45,1645459156,0
13,74.45,1645459230,0
13,74.45,1645459305,0
13,74.45,1645459379,0
13,74.42,1645459453,0
13,74.35,1645459528,0
13,74.27,1645459602,0
13,73.98,1645459676,0
13,73.82,1645459750,0
13,73.52,1645459824,0
13,73.2,1645459898,0
13,72.9,1645459971,0
13,72.58,1645460044,0
13,72.23,1645460116,0
13,71.92,1645460189,0
13,71.53,1645460261,0
13,71.15,1645460332,0
13,70.78,1645460403,0
13,70.47,1645460474,0
13,70.1,1645460545,0
13,69.65,1645460615,0
13,69.17,1645460684,0
13,68.73,1645460753,0
13,68.28,1645460822,0
