Participant,IBI,Time,Label
4,20.65625,1644233390,0
4,21.40625,1644233390,0
4,22.140625,1644233391,0
4,22.84375,1644233392,0
4,23.546875,1644233393,0
4,24.25,1644233393,0
4,24.921875,1644233394,0
4,25.609375,1644233395,0
4,26.265625,1644233395,0
4,26.921875,1644233396,0
4,27.59375,1644233397,0
4,28.28125,1644233397,0
4,28.96875,1644233398,0
4,29.640625,1644233399,0
4,30.34375,1644233399,0
4,31.03125,1644233400,0
4,31.75,1644233401,0
4,32.40625,1644233401,0
4,33.09375,1644233402,0
4,33.75,1644233403,0
4,34.375,1644233403,0
4,34.953125,1644233404,0
4,35.5625,1644233405,0
4,36.1875,1644233405,0
4,36.828125,1644233406,0
4,37.484375,1644233407,0
4,38.1875,1644233407,0
4,38.859375,1644233408,0
4,39.53125,1644233409,0
4,40.265625,1644233409,0
4,40.953125,1644233410,0
4,41.65625,1644233411,0
4,42.359375,1644233411,0
4,43.03125,1644233412,0
4,43.734375,1644233413,0
4,44.46875,1644233414,0
4,45.1875,1644233414,0
4,45.921875,1644233415,0
4,46.625,1644233416,0
4,47.359375,1644233416,0
4,48.046875,1644233417,0
4,48.75,1644233418,0
4,49.46875,1644233419,0
4,50.203125,1644233419,0
4,50.984375,1644233420,0
4,51.71875,1644233421,0
4,52.46875,1644233422,0
4,53.25,1644233422,0
4,54.03125,1644233423,0
4,54.78125,1644233424,0
4,55.484375,1644233425,0
4,56.203125,1644233425,0
4,63.1875,1644233426,0
4,63.890625,1644233427,0
4,64.609375,1644233427,0
4,65.296875,1644233428,0
4,66.03125,1644233429,0
4,66.75,1644233430,0
4,71.171875,1644233430,0
4,71.890625,1644233431,0
4,72.65625,1644233432,0
4,73.375,1644233433,0
4,74.109375,1644233433,0
4,74.875,1644233434,0
4,75.640625,1644233435,0
4,76.40625,1644233436,0
4,77.15625,1644233436,0
4,77.890625,1644233437,0
4,78.65625,1644233438,0
4,79.390625,1644233439,0
4,80.109375,1644233439,0
4,80.828125,1644233440,0
4,81.578125,1644233441,0
4,88.796875,1644233441,0
4,89.515625,1644233442,0
4,90.296875,1644233443,0
4,91.0,1644233444,0
4,91.734375,1644233444,0
4,92.46875,1644233445,0
4,93.171875,1644233446,0
4,93.953125,1644233447,0
4,99.78125,1644233447,0
4,105.859375,1644233448,0
4,106.53125,1644233449,0
4,107.25,1644233449,0
4,110.6875,1644233450,0
4,111.359375,1644233451,0
4,112.015625,1644233451,0
4,112.6875,1644233452,0
4,113.34375,1644233453,0
4,121.953125,1644233453,0
4,122.671875,1644233454,0
4,123.375,1644233455,0
4,124.015625,1644233455,0
4,124.703125,1644233456,0
4,125.390625,1644233457,0
4,126.09375,1644233458,0
4,126.859375,1644233458,0
4,131.078125,1644233459,0
4,131.8125,1644233460,0
4,132.546875,1644233461,0
4,133.21875,1644233461,0
4,133.90625,1644233462,0
4,134.578125,1644233463,0
4,135.265625,1644233463,0
4,136.0,1644233464,0
4,136.671875,1644233465,0
4,137.375,1644233465,0
4,138.078125,1644233466,0
4,144.703125,1644233467,0
4,145.40625,1644233467,0
4,146.078125,1644233468,0
4,146.796875,1644233469,0
4,150.140625,1644233469,0
4,150.828125,1644233470,0
4,151.546875,1644233471,0
4,152.25,1644233472,0
4,152.953125,1644233472,0
4,153.6875,1644233473,0
4,154.421875,1644233474,0
4,155.15625,1644233475,0
4,155.859375,1644233475,0
4,156.59375,1644233476,0
4,157.296875,1644233477,0
4,158.078125,1644233477,0
4,158.78125,1644233478,0
4,159.5,1644233479,0
4,160.21875,1644233480,0
4,160.96875,1644233480,0
4,161.640625,1644233481,0
4,162.28125,1644233482,0
4,162.921875,1644233482,0
4,163.640625,1644233483,0
4,164.328125,1644233484,0
4,164.984375,1644233484,0
4,165.6875,1644233485,0
4,166.4375,1644233486,0
4,167.140625,1644233486,0
4,167.8125,1644233487,0
4,168.46875,1644233488,0
4,169.140625,1644233488,0
4,169.828125,1644233489,0
4,170.421875,1644233490,0
4,190.671875,1644233490,0
4,191.296875,1644233491,0
4,191.921875,1644233492,0
4,192.5625,1644233492,0
4,193.234375,1644233493,0
4,193.890625,1644233494,0
4,194.53125,1644233494,0
4,195.234375,1644233495,0
4,195.9375,1644233496,0
4,196.640625,1644233496,0
4,197.34375,1644233497,0
4,198.03125,1644233498,0
4,198.734375,1644233498,0
4,199.4375,1644233499,0
4,200.109375,1644233500,0
4,200.765625,1644233500,0
4,201.453125,1644233501,0
4,202.125,1644233502,0
4,202.828125,1644233503,0
4,203.5,1644233503,0
4,204.21875,1644233504,0
4,204.9375,1644233505,0
4,205.65625,1644233505,0
4,212.359375,1644233506,0
4,213.0625,1644233507,0
4,213.765625,1644233507,0
4,214.4375,1644233508,0
4,215.15625,1644233509,0
4,215.859375,1644233510,0
4,216.609375,1644233510,0
4,217.359375,1644233511,0
4,218.0625,1644233512,0
4,218.828125,1644233513,0
4,223.78125,1644233513,0
4,224.484375,1644233514,0
4,225.21875,1644233515,0
4,225.96875,1644233515,0
4,226.6875,1644233516,0
4,232.3125,1644233517,0
4,233.015625,1644233517,0
4,233.703125,1644233518,0
4,234.4375,1644233519,0
4,235.21875,1644233520,0
4,235.953125,1644233520,0
4,236.6875,1644233521,0
4,237.4375,1644233522,0
4,238.15625,1644233523,0
4,238.875,1644233523,0
4,247.359375,1644233524,0
4,248.078125,1644233525,0
4,248.796875,1644233525,0
4,249.484375,1644233526,0
4,250.125,1644233527,0
4,250.796875,1644233527,0
4,251.453125,1644233528,0
4,252.109375,1644233529,0
4,252.75,1644233529,0
4,258.828125,1644233530,0
4,259.5,1644233531,0
4,260.1875,1644233531,0
4,260.875,1644233532,0
4,261.5625,1644233533,0
4,262.25,1644233534,0
4,262.921875,1644233534,0
4,263.59375,1644233535,0
4,264.25,1644233536,0
4,264.90625,1644233536,0
