Participant,HR,Time,Label
25,1.0,1646061160,0
25,109.0,1646061161,0
25,83.5,1646061270,0
25,88.33,1646061354,0
25,87.0,1646061442,0
25,89.2,1646061529,0
25,90.67,1646061618,0
25,91.71,1646061709,0
25,92.62,1646061800,1
25,93.44,1646061893,1
25,94.1,1646061986,1
25,94.73,1646062081,1
25,95.42,1646062175,1
25,96.0,1646062271,0
25,96.57,1646062367,0
25,96.8,1646062463,1
25,97.06,1646062560,1
25,96.71,1646062657,1
25,96.56,1646062754,1
25,96.26,1646062850,1
25,95.9,1646062947,1
25,95.52,1646063043,1
25,95.09,1646063138,0
25,94.65,1646063233,0
25,94.25,1646063328,0
25,93.48,1646063422,1
25,92.73,1646063516,1
25,92.04,1646063608,0
25,91.39,1646063700,0
25,90.83,1646063792,0
25,90.13,1646063883,0
25,89.42,1646063973,0
25,88.75,1646064062,0
25,88.09,1646064151,0
25,87.5,1646064239,0
25,86.91,1646064326,0
25,86.36,1646064413,0
25,85.92,1646064500,0
25,85.53,1646064586,0
25,85.1,1646064671,0
25,84.7,1646064756,0
25,84.32,1646064841,0
25,83.95,1646064925,0
25,83.56,1646065009,0
25,83.14,1646065093,0
25,82.69,1646065176,0
25,82.09,1646065259,0
25,81.47,1646065341,0
25,80.85,1646065422,0
25,80.31,1646065503,0
25,79.82,1646065583,0
25,79.33,1646065663,0
25,79.1,1646065743,0
25,78.92,1646065822,0
25,78.85,1646065901,0
25,78.78,1646065979,0
25,78.71,1646066058,0
25,78.65,1646066137,0
25,78.59,1646066216,0
25,78.53,1646066294,0
25,78.47,1646066373,0
25,77.9,1646066451,0
25,78.18,1646066529,0
25,77.8,1646066607,0
25,77.72,1646066685,0
25,77.4,1646066763,0
25,77.07,1646066840,0
25,76.72,1646066917,0
25,76.33,1646066994,0
25,75.95,1646067070,0
25,75.58,1646067146,0
25,75.18,1646067222,0
25,74.73,1646067297,0
25,74.28,1646067372,0
25,73.8,1646067446,0
25,73.38,1646067520,0
25,72.78,1646067593,0
25,72.38,1646067666,0
25,71.9,1646067738,0
25,71.48,1646067810,0
25,71.12,1646067882,0
25,70.8,1646067953,0
25,70.5,1646068024,0
25,70.22,1646068094,0
25,69.93,1646068164,0
25,69.72,1646068234,0
25,69.53,1646068304,0
25,69.42,1646068373,0
25,69.3,1646068443,0
25,69.17,1646068512,0
25,69.13,1646068581,0
25,69.17,1646068651,0
25,69.15,1646068720,0
25,69.17,1646068789,0
25,69.28,1646068858,0
25,69.42,1646068927,0
25,69.55,1646068997,0
25,69.62,1646069066,0
25,69.65,1646069136,0
25,69.68,1646069206,0
25,69.68,1646069275,0
25,69.65,1646069345,0
25,69.6,1646069415,0
25,69.58,1646069484,0
25,69.57,1646069554,0
25,69.63,1646069623,0
25,69.82,1646069693,0
25,70.07,1646069763,0
25,70.42,1646069833,0
25,70.67,1646069903,0
25,70.9,1646069974,0
25,71.15,1646070045,0
25,71.2,1646070116,0
25,71.15,1646070187,0
25,71.02,1646070258,0
25,70.83,1646070329,0
25,70.65,1646070400,0
25,70.47,1646070471,0
25,70.28,1646070541,0
25,70.08,1646070612,0
25,69.88,1646070682,0
25,69.67,1646070751,0
25,69.4,1646070821,0
25,69.13,1646070891,0
25,68.82,1646070960,0
25,68.5,1646071029,0
25,68.2,1646071097,0
25,67.95,1646071165,0
25,67.72,1646071233,0
25,67.5,1646071301,0
25,67.28,1646071368,0
25,67.1,1646071436,0
25,66.92,1646071503,0
25,66.75,1646071570,0
25,66.58,1646071636,0
25,66.43,1646071703,0
25,66.45,1646071769,0
25,66.43,1646071836,0
25,66.45,1646071902,0
25,66.55,1646071969,0
25,66.63,1646072035,0
25,66.7,1646072102,0
25,66.77,1646072169,0
25,66.83,1646072235,0
25,66.9,1646072302,0
25,67.07,1646072369,0
25,67.17,1646072436,0
25,67.18,1646072503,0
25,67.25,1646072571,0
25,67.28,1646072638,0
25,67.28,1646072705,0
25,67.23,1646072772,0
25,67.23,1646072840,0
25,67.22,1646072907,0
25,67.07,1646072974,0
25,66.92,1646073041,0
25,66.77,1646073108,0
25,66.63,1646073175,0
25,66.52,1646073241,0
25,66.43,1646073308,0
25,66.4,1646073374,0
25,66.4,1646073441,0
25,66.42,1646073507,0
25,66.45,1646073574,0
25,66.52,1646073640,0
25,66.53,1646073707,0
25,66.57,1646073773,0
25,66.53,1646073840,0
25,66.42,1646073906,0
25,66.37,1646073973,0
25,66.3,1646074039,0
25,66.35,1646074105,0
25,66.4,1646074172,0
25,66.5,1646074238,0
25,66.58,1646074305,0
25,66.67,1646074371,0
25,66.75,1646074438,0
25,66.83,1646074505,0
25,66.9,1646074571,0
25,67.0,1646074638,0
25,67.1,1646074705,0
25,67.22,1646074772,0
25,67.38,1646074840,0
25,67.55,1646074907,0
25,67.72,1646074975,0
25,67.85,1646075042,0
25,68.02,1646075110,0
25,68.13,1646075178,0
25,68.23,1646075246,0
25,68.3,1646075314,0
25,68.35,1646075383,0
25,68.38,1646075451,0
25,68.43,1646075520,0
25,68.45,1646075588,0
25,68.47,1646075656,0
25,68.5,1646075725,0
25,68.55,1646075793,0
25,68.6,1646075862,0
25,68.68,1646075931,0
25,68.58,1646075999,0
25,68.52,1646076068,0
25,68.38,1646076136,0
25,68.3,1646076205,0
25,68.15,1646076273,0
25,67.98,1646076341,0
25,67.82,1646076409,0
